hours;mg/L
1671;1.232135307
1679;1.217389006
1687;1.181342495
1695;1.204281184
1703;1.225581395
1711;1.274735729
1719;1.286205074
1727;1.263266385
1735;1.171511628
1743;1.215750529
1751;1.099418605
1759;1.173150106
1767;1.161680761
1775;1.173150106
1783;1.128911205
1791;1.22230444
1799;1.261457787
1807;1.295595176
1815;1.267960147
1823;1.259832197
1831;1.238699528
1839;1.20293655
1847;1.154168852
1855;0.1753
1863;1.180178291
1871;1.222443629
1879;1.159045621
1887;1.165547981
1895;1.147666492
1903;1.245201888
1911;1.263083377
1919;1.240325118
1927;1.220818039
1935;1.19805978
1943;1.20131096
1951;1.204562139
1959;1.209438909
1975;1.069758813
1983;1.127272727
1991;1.130148423
1999;1.157467532
2007;1.102829314
2015;1.114332096
2023;1.015120594
2031;1.016558442
2039;1.062569573
2047;1.09851577
2055;1.117207792
2063;1.143089054
2071;1.386623863
2079;1.389941145
2087;1.378330658
2095;1.368378812
2103;1.376672017
2111;1.360085607
2119;1.326912788
2127;1.056316955
2135;1.057813155
2143;1.105691543
2151;1.143096535
2159;1.16254713
2167;1.189478724
2175;1.44289684
2183;1.446348746
2191;1.434267074
2199;1.423911355
2207;1.432541121
2215;1.415281589
2223;1.380762526
2231;1.391118245
2239;1.351421322
2247;1.361777041
2255;1.356599182
2263;1.285835102
2271;1.297916775
2279;1.328983931
2287;1.294464868
2295;1.315176306
2303;1.303094634
2311;1.179823584
2319;1.133649651
2327;1.098621151
2335;1.065184855
2343;1.069961469
2351;0.983982422
2359;0.856606057
2367;0.740375123
2375;0.993535649
2383;1.104989969
2391;1.081106901
2399;1.054039423
2407;1.026971945
2415;1.015826513
2423;1.173454765
2431;1.21007547
2439;1.190969016
2447;1.222813107
2455;1.240327357
2463;1.310384358
2471;1.308792154
2479;1.187784607
2487;1.275355858
2495;1.227589721
2503;1.271425256
2511;1.254848656
2519;1.259821636
2527;1.239929715
2535;1.249875675
2543;1.307893777
2551;1.253190996
2559;1.258163976
2567;1.268109936
2575;1.283028876
2583;1.269767596
2591;1.291317177
2599;1.271425256
2607;1.258163976
2615;1.266452276
2623;1.263136956
2631;1.253190996
2639;1.254848656
2647;1.317839737
2655;1.283028876
2663;1.284686536
2671;1.241587375
2679;1.228326095
2687;1.321155058
2695;1.297947817
2703;1.220037795
2711;1.208434174
2719;1.259821636
2727;1.271425256
2735;1.165335013
2743;1.175280973
2751;1.195172894
2759;1.266452276
2767;1.297947817
2775;1.286344197
2783;1.292974837
2791;1.292974837
2799;1.281112682
2807;1.277723495
2815;1.340423455
2823;1.303142398
2831;1.284501869
2839;1.326866707
2847;1.32347752
2855;1.308226178
2863;1.304836991
2871;1.264166747
2919;1.259082967
2927;1.303142398
2935;1.18282626
2943;1.138766829
2951;1.230274877
2959;1.348896422
2967;1.338728861
2975;1.36245317
2983;1.382788292
2991;1.3285613
2999;1.376009918
3007;1.369231544
3015;1.347201829
3023;1.333645081
3031;1.337034268
3039;1.343812642
3047;1.321782926
